Key	Value
 BitsPerPixel	16
 DimensionOrder	XYCZT
 IsInterleaved	false
 IsRGB	false
 LittleEndian	true
 PixelType	uint16
Field 38 i_Image1 Image_Width	2048.0
Field 38 i_Image1 Image_eCoeff1	0.48
Field 38 i_Image1 Image_eOffset1	100.0
Field 39 Binning	1.0
Field 39 Capture_Depth	16.0
Field 39 Image_Depth	16.0
Field 39 Image_Height	2048.0
Field 39 Image_Width	2048.0
Field 39 Time_From_Last	0.03332600000000019
Field 39 Time_From_Start	1.266377
Field 39 i_Image1 Binning	1.0
Field 39 i_Image1 Capture_Depth	16.0
Field 39 i_Image1 Image_Depth	16.0
Field 39 i_Image1 Image_Exposure1	0.003021
Field 39 i_Image1 Image_Height	2048.0
Field 39 i_Image1 Image_Width	2048.0
Field 39 i_Image1 Image_eCoeff1	0.48
Field 39 i_Image1 Image_eOffset1	100.0
Field 4 Binning	1.0
Field 4 Capture_Depth	16.0
Field 4 Image_Depth	16.0
Field 4 Image_Height	2048.0
Field 4 Image_Width	2048.0
Field 4 Time_From_Last	0.033325999999999995
Field 4 Time_From_Start	0.099977
Field 4 i_Image1 Binning	1.0
Field 4 i_Image1 Capture_Depth	16.0
Field 4 i_Image1 Image_Depth	16.0
Field 4 i_Image1 Image_Exposure1	0.003021
Field 4 i_Image1 Image_Height	2048.0
Field 4 i_Image1 Image_Width	2048.0
Field 4 i_Image1 Image_eCoeff1	0.48
Field 4 i_Image1 Image_eOffset1	100.0
Field 40 Binning	1.0
Field 40 Capture_Depth	16.0
Field 40 Image_Depth	16.0
Field 40 Image_Height	2048.0
Field 40 Image_Width	2048.0
Field 40 Time_From_Last	0.03332599999999997
Field 40 Time_From_Start	1.299703
Field 40 i_Image1 Binning	1.0
Field 40 i_Image1 Capture_Depth	16.0
Field 40 i_Image1 Image_Depth	16.0
Field 40 i_Image1 Image_Exposure1	0.003021
Field 40 i_Image1 Image_Height	2048.0
Field 40 i_Image1 Image_Width	2048.0
Field 40 i_Image1 Image_eCoeff1	0.48
Field 40 i_Image1 Image_eOffset1	100.0
Field 41 Binning	1.0
Field 41 Capture_Depth	16.0
Field 41 Image_Depth	16.0
Field 41 Image_Height	2048.0
Field 41 Image_Width	2048.0
Field 41 Time_From_Last	0.03332500000000005
Field 41 Time_From_Start	1.333028
Field 41 i_Image1 Binning	1.0
Field 41 i_Image1 Capture_Depth	16.0
Field 41 i_Image1 Image_Depth	16.0
Field 41 i_Image1 Image_Exposure1	0.003021
Field 41 i_Image1 Image_Height	2048.0
Field 41 i_Image1 Image_Width	2048.0
Field 41 i_Image1 Image_eCoeff1	0.48
Field 41 i_Image1 Image_eOffset1	100.0
Field 42 Binning	1.0
Field 42 Capture_Depth	16.0
Field 42 Image_Depth	16.0
Field 42 Image_Height	2048.0
Field 42 Image_Width	2048.0
Field 42 Time_From_Last	0.03332599999999997
Field 42 Time_From_Start	1.366354
Field 42 i_Image1 Binning	1.0
Field 42 i_Image1 Capture_Depth	16.0
Field 42 i_Image1 Image_Depth	16.0
Field 42 i_Image1 Image_Exposure1	0.003021
Field 42 i_Image1 Image_Height	2048.0
Field 42 i_Image1 Image_Width	2048.0
Field 42 i_Image1 Image_eCoeff1	0.48
Field 42 i_Image1 Image_eOffset1	100.0
Field 43 Binning	1.0
Field 43 Capture_Depth	16.0
